TITLE = "Cavity Iterative Residual History"
variables="Iteration""Time(s)""Res1""Res2""Res3"
1 1.098633e-03 7.616980e+00 5.758152e+01 7.051639e+01 1.000000e+00
10 9.664566e-03 3.119008e+01 6.515544e+01 8.955912e+01 9.276775e-01
20 1.744088e-02 3.800470e+01 5.629027e+01 7.047770e+01 1.130363e+00
30 2.403508e-02 2.218958e+01 1.326773e+01 1.480261e+01 6.599781e-01
40 3.062927e-02 1.621002e+01 8.873078e+00 8.273849e+00 4.821299e-01
50 3.722347e-02 1.251397e+01 7.070653e+00 6.037856e+00 3.721994e-01
60 4.381766e-02 9.802795e+00 5.604984e+00 5.000331e+00 2.915617e-01
70 5.041186e-02 1.105239e+01 4.435834e+00 4.526102e+00 3.287279e-01
80 5.700605e-02 1.284945e+01 4.279390e+00 3.127029e+00 3.821773e-01
90 6.360025e-02 8.926394e+00 4.448266e+00 2.906731e+00 2.654951e-01
100 7.019444e-02 8.540175e+00 3.751156e+00 3.013888e+00 2.540079e-01
110 7.678864e-02 4.237034e+00 3.152058e+00 2.856409e+00 1.260209e-01
120 8.338283e-02 3.234048e+00 3.082888e+00 2.711940e+00 9.618932e-02
130 8.997702e-02 3.385920e+00 2.497966e+00 2.536262e+00 1.007064e-01
140 9.657122e-02 2.754389e+00 2.108582e+00 2.204096e+00 8.192297e-02
150 1.031654e-01 2.906825e+00 1.643792e+00 1.886560e+00 8.645685e-02
160 1.097596e-01 1.430277e+00 1.191158e+00 1.429124e+00 4.254030e-02
170 1.163538e-01 2.208743e+00 1.032933e+00 8.053352e-01 6.569398e-02
180 1.229480e-01 1.247681e+00 8.048318e-01 7.684546e-01 3.710942e-02
190 1.295422e-01 1.227694e+00 7.764443e-01 5.246540e-01 3.651494e-02
200 1.361364e-01 8.063599e-01 6.245777e-01 5.011726e-01 2.398333e-02
210 1.427306e-01 1.243716e+00 5.731246e-01 4.759224e-01 3.699147e-02
220 1.493248e-01 5.644208e-01 5.164624e-01 3.691148e-01 1.678740e-02
230 1.559190e-01 1.164873e+00 3.613132e-01 4.260371e-01 3.464648e-02
