TITLE = "Cavity Iterative Residual History"
variables="Iteration""Time(s)""Res1""Res2""Res3"
1 4.941059e-04 3.325042e-01 1.052476e+01 1.297947e-02 1.000000e+00
10 3.977437e-03 3.574947e-01 6.981807e+00 8.584638e-01 8.584638e-01
20 6.762833e-03 5.725081e-01 5.240550e+00 1.186238e+00 1.186238e+00
30 8.858012e-03 6.664357e-01 3.994617e+00 1.405913e+00 1.405913e+00
40 1.064628e-02 7.450683e-01 3.368974e+00 1.647107e+00 1.647107e+00
50 1.232053e-02 9.060374e-01 3.573765e+00 2.133851e+00 2.133851e+00
60 1.392142e-02 1.211856e+00 4.507493e+00 2.797307e+00 2.797307e+00
70 1.548226e-02 1.574137e+00 5.404631e+00 3.295575e+00 3.295575e+00
80 1.700175e-02 1.833113e+00 6.127621e+00 3.642133e+00 3.642133e+00
90 1.845971e-02 2.026402e+00 6.781030e+00 4.071165e+00 4.071165e+00
100 1.988199e-02 2.278883e+00 8.241480e+00 5.466771e+00 5.466771e+00
110 2.127165e-02 3.735608e+00 9.881760e+00 7.741688e+00 7.741688e+00
120 2.263388e-02 4.654039e+00 1.138168e+01 9.106799e+00 9.106799e+00
130 2.398646e-02 5.176787e+00 1.249535e+01 9.429936e+00 9.429936e+00
140 2.532170e-02 5.518273e+00 1.353418e+01 9.707338e+00 9.707338e+00
150 2.664553e-02 5.968804e+00 1.498163e+01 1.060933e+01 1.060933e+01
160 2.795053e-02 7.234919e+00 1.648818e+01 1.227009e+01 1.227009e+01
170 2.922781e-02 7.423467e+00 1.851426e+01 1.355143e+01 1.355143e+01
180 3.048010e-02 7.724810e+00 1.987852e+01 1.388578e+01 1.388578e+01
190 3.171338e-02 9.363164e+00 2.147016e+01 1.529817e+01 1.529817e+01
200 3.292204e-02 1.043268e+01 2.352216e+01 1.778599e+01 1.778599e+01
210 3.409585e-02 1.564367e+01 2.542074e+01 2.120359e+01 2.120359e+01
220 3.524784e-02 1.357870e+01 2.780767e+01 2.134664e+01 2.134664e+01
230 3.638283e-02 1.409794e+01 2.848441e+01 2.171237e+01 2.171237e+01
240 3.750276e-02 1.575771e+01 2.976104e+01 2.343754e+01 2.343754e+01
250 3.860542e-02 1.788644e+01 3.109429e+01 2.524392e+01 2.524392e+01
260 3.969684e-02 1.771434e+01 3.273475e+01 2.674242e+01 2.674242e+01
270 4.078195e-02 1.827731e+01 3.476025e+01 2.997756e+01 2.997756e+01
280 4.182140e-02 2.148597e+01 3.735090e+01 3.566022e+01 3.566022e+01
290 4.280019e-02 2.438376e+01 4.141110e+01 3.762484e+01 3.762484e+01
300 4.369605e-02 2.632018e+01 4.277222e+01 3.595986e+01 3.595986e+01
310 4.456943e-02 2.456526e+01 4.207444e+01 3.752251e+01 3.752251e+01
320 4.544009e-02 3.083711e+01 4.409917e+01 4.190858e+01 4.190858e+01
330 4.622428e-02 4.595795e+01 4.697019e+01 4.449076e+01 4.595795e+01
340 4.685730e-02 4.003396e+01 5.082097e+01 4.534170e+01 4.534170e+01
350 4.746860e-02 4.822354e+01 5.942644e+01 4.755138e+01 4.822354e+01
360 4.805712e-02 5.156604e+01 6.236282e+01 4.799294e+01 5.156604e+01
370 4.864024e-02 4.471109e+01 6.406988e+01 4.510574e+01 4.510574e+01
380 4.922336e-02 4.254937e+01 5.949552e+01 5.904551e+01 5.904551e+01
390 4.980648e-02 7.727020e+01 6.468717e+01 6.198776e+01 7.727020e+01
400 5.033160e-02 1.506789e+02 8.496331e+01 9.918710e+01 1.506789e+02
410 5.068168e-02 2.303677e+02 1.224023e+02 1.365340e+02 2.303677e+02
420 5.098253e-02 4.610563e+02 1.786666e+02 2.325302e+02 4.610563e+02
430 5.127824e-02 6.956616e+02 2.504022e+02 2.699051e+02 6.956616e+02
440 5.154687e-02 8.753079e+02 4.075249e+02 3.407108e+02 8.753079e+02
450 5.175020e-02 3.354995e+03 6.871168e+02 5.984180e+02 3.354995e+03
460 5.188243e-02 6.914565e+03 1.013382e+03 9.424909e+02 6.914565e+03
470 5.198839e-02 1.247431e+04 1.702327e+03 2.508098e+03 1.247431e+04
480 5.205831e-02 7.327623e+04 4.901403e+03 8.389364e+03 7.327623e+04
490 5.209516e-02 2.848862e+05 1.227783e+04 2.010585e+04 2.848862e+05
500 5.211681e-02 1.481216e+06 3.520994e+04 5.702799e+04 1.481216e+06
510 5.212992e-02 1.015183e+07 1.354386e+05 1.717332e+05 1.015183e+07
520 5.213787e-02 4.260661e+07 5.212304e+05 5.460333e+05 4.260661e+07
530 5.214221e-02 3.566259e+08 1.955274e+06 2.010590e+06 3.566259e+08
540 5.214434e-02 2.604786e+09 5.926704e+06 6.529306e+06 2.604786e+09
550 5.214545e-02 1.581487e+10 2.609329e+07 2.482856e+07 1.581487e+10
560 5.214603e-02 1.394679e+11 9.620009e+07 1.012337e+08 1.394679e+11
570 5.214633e-02 7.832004e+11 3.478076e+08 3.931042e+08 7.832004e+11
580 5.214648e-02 6.972393e+12 1.382167e+09 1.485048e+09 6.972393e+12
590 5.214656e-02 5.338840e+13 4.501211e+09 6.264308e+09 5.338840e+13
600 5.214660e-02 3.658259e+14 1.661408e+10 2.285791e+10 3.658259e+14
610 5.214663e-02 2.680070e+15 6.522741e+10 7.641204e+10 2.680070e+15
620 5.214664e-02 2.794436e+16 2.345833e+11 2.842947e+11 2.794436e+16
630 5.214664e-02 1.072683e+17 1.038040e+12 8.686144e+11 1.072683e+17
640 5.214665e-02 1.318786e+18 3.786159e+12 3.101437e+12 1.318786e+18
